screen_name,text,date,favorite_count,retweet_count,location
K_Anckarstrom,"RT @PSCupdates: 🎄 Christmas shopping? 🎄

Make sure to #BoycottPuma
as long as they sponsor the Israeli Football Association, which includes…",2019-11-30 06:54:17,0,43,"Lambeth, London"
menswear_bot,RT @KickBanGa: Adidas Yzy 350 boost “BLACK STATIC”  #TodaysRelease 👀 #StayWoke @KickBanGa 🤙🏽 #KicksNMusic #s #sneakernews #photography #str…,2019-11-30 06:54:09,0,1,worldwide
lepatriote71,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 06:50:23,0,48,100% AOC
KickBanGa,Adidas Yzy 350 boost “BLACK STATIC”  #TodaysRelease 👀 #StayWoke @KickBanGa 🤙🏽 #KicksNMusic #s #sneakernews… https://t.co/WBfQbIFfux,2019-11-30 06:47:41,0,1,United States
ardija41lifeh,RT @kyo_akiyama: #川崎フロンターレ 2020シーズン新ユニフォーム！ #新ユニ2020 #Jリーグ #frontale #PUMA https://t.co/izCCSj4GVj,2019-11-30 06:46:19,0,10,
nakajimacho_,RT @JozenjiStreet: #仙台泉プレミアムアウトレット 内でお気に入りの #adidas #アンダーアーマー #Puma (笑)😘 https://t.co/0nlMQMEhTg,2019-11-30 06:45:54,0,4,仙台市 青葉区八幡の中島丁
KingsShoota,RT @OfficialSoFly: Big Elite 1!! 💪💯 #Puma #NBA2K20 #XboxShare https://t.co/mAjP0nmRoY,2019-11-30 06:45:19,0,14,"Chicago, IL"
OfficialSoFly,Big Elite 1!! 💪💯 #Puma #NBA2K20 #XboxShare https://t.co/mAjP0nmRoY,2019-11-30 06:44:37,140,14,Please sub to my YouTube ⬇️
FannyMeyer00,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 06:40:44,0,48,Suisse
quattro_sendai,RT @JozenjiStreet: #仙台泉プレミアムアウトレット 内でお気に入りの #adidas #アンダーアーマー #Puma (笑)😘 https://t.co/0nlMQMEhTg,2019-11-30 06:39:46,0,4,伊達政宗のお膝元
takavnir,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 06:36:12,0,48,"Côtes-d'Armor, Bretagne"
zespri_kiwi_bro,RT @JozenjiStreet: #仙台泉プレミアムアウトレット 内でお気に入りの #adidas #アンダーアーマー #Puma (笑)😘 https://t.co/0nlMQMEhTg,2019-11-30 06:34:11,0,4,仙台市太白区向山
MeyerLize,RT @Netball_SA: Thank You for the hospitality today @PUMASouthAfrica looking forward to taking the court this weekend looking and feeling s…,2019-11-30 06:30:36,0,9,Cape Town
OfficiallyTape,". PUMA x RUBIK’S .
RS-X Rubiks | R2199 | 6-10
@puma : @pumasouthafrica launches the RS-X Rubik in SA today. 
Availa… https://t.co/ZczoPgr5sP",2019-11-30 06:28:01,0,0,"Pretoria, South Africa"
LMN_CR,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 06:28:00,0,48,
Dante38490,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 06:26:53,0,48,Karakura
deege1010,Hope you enjoy the new wheels Morgan and my they bring you lot’s of big hits during @dubai7s next weekend. Thanks t… https://t.co/sd4LGFDkPE,2019-11-30 06:19:02,0,0,"Dubai, United Arab Emirates"
JozenjiStreet,#仙台泉プレミアムアウトレット 内でお気に入りの #adidas #アンダーアーマー #Puma (笑)😘 https://t.co/0nlMQMEhTg,2019-11-30 06:15:11,8,4,仙台市青葉区の定禅寺通り辺り
edira2,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 06:12:33,0,48,paris
ChristinaJo5,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 06:10:01,0,48,
oginoshingobot,"【おぎの信号落書き展覧会】

プーマ百景57
「ミシンがけをするプーマ」

#プーマ百景 #落書き展覧会 #おぎの信号 #荻野晋吾 #プーマ #PUMA
https://t.co/o9YbGhfma0",2019-11-30 06:07:46,0,0,
Dormez_Dormez,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 06:04:10,0,48,France
nijikinnton,"RT @ABCMART_INFO: 君はPUMA  #XRAY をどう履く？

お買い求めは、お近くのABC-MARTまたは、
ABC-MART公式通販サイトへ！

#佐野勇斗 #PUMA #プーマ 
#abcmart #abcマート",2019-11-30 05:56:17,0,6,大阪
demons1985,RT @F_Desouche: Selena Gomez accusée de manquer de #respect à l’hindouisme et à l'islam à cause de ses #photos pour #PUMA https://t.co/YhKv…,2019-11-30 05:49:32,0,48,"Marseille, France"
Tyre1zn,RT @PUMASouthAfrica: #BlackFriday is dead 😎. #PUMA brings you #BlackWeek 🗣 till December 1st. Standard Ts and Cs apply! https://t.co/8w4FGo…,2019-11-30 05:46:51,0,7,Durban 
