screen_name,text,date,favorite_count,retweet_count,location
luismi_cr7,"RT @Camo__Oficial: Estos son los precios de los nuevos miembros de la familia 
@Motorola_col ... bueno, ya se en que gastarme la prima navi…",2019-11-15 00:58:48,0,8,PASTO COLOMBIA
TDigitalCol,Motorola presentó su generación Moto G en Colombia @Motorola_col #HelloMoto #Motog8Plus #tecnologia #moviles… https://t.co/3qZORJ3Hdx,2019-11-14 22:30:34,0,0,"Bogotá, D.C., Colombia"
GlaucoPortela,RT @MotorolaBR: Acredite: chegou a família Moto G8. Tudo novo para você não perder nada. #MotoG8Plus #MotoG8Play https://t.co/fJ2BGwcNvx,2019-11-14 21:04:38,0,35,
GlobalConsume,"No te puedes perder del #unboxing del nuevo #MotoG8Plus de @MotorolaMX 🙂
👉https://t.co/nEhyE8sHZO https://t.co/GRhIKFBtQC",2019-11-14 20:52:04,1,0,"Distrito Federal, México"
Motorola_col,"@mauricio2990 Hola Mauricio, te informamos que el nuevo #MotoG8Plus cuenta con 4GB de memoria RAM y 64GB de almacen… https://t.co/ybCzizKw1d",2019-11-14 20:23:44,1,0,Colombia
Motorola_col,"@majedracul19 📍 Aquí encontrarás mayor información sobre el nuevo #MotoG8Plus https://t.co/YCHDhgaph4

Gracias por… https://t.co/wGjxvB0kWm",2019-11-14 20:20:39,0,0,Colombia
Motorola_col,"@majedracul19 Hola, puedes encontrar nuestro nuevo #MotoG8Plus en los almacenes Alkosto, Éxito, Falabella y el oper… https://t.co/ah5gs659WL",2019-11-14 20:20:36,0,0,Colombia
Motorola_col,"@JorgeLuisv0321 @Kata94_ Hola Jorge Luis, te informamos que el nuevo #MotoG8Plus cuenta con 4GB de memoria RAM y 64… https://t.co/GTQJG7Td5P",2019-11-14 20:14:39,0,0,Colombia
tecnocat01,"Me ha encantado el Moto G8 Plus en diseño, color como ergonómia .
@motorola_mx 
#motog8plus #motog8 #hellomoto https://t.co/v0dwbJ1m8N",2019-11-14 20:11:51,3,0,"Distrito Federal, México"
Alequemera73,"RT @FuriousGamingLA: Estamos en el evento de @motorola_AR viviendo la experiencia de los nuevos equipos:

#motoe6play
#motog8plus
#motog8pl…",2019-11-14 19:59:38,0,8,
Alequemera73,"RT @motorola_AR: ¡Se agrandó la familia #motog8! Llegaron los nuevos #motog8plus y #motog8play, con sistema de triple cámara ⚡ https://t.co…",2019-11-14 19:59:03,0,11,
JuanJMorell,RT @RandomAccessOk: #Mobile #Smartphones @motorola_AR anunció la llegada a nuestro país de: #MotoG8Play  #MotoG8Plus #MotoE6Play y #Motorol…,2019-11-14 19:30:35,0,1,
RandomAccessOk,#Mobile #Smartphones @motorola_AR anunció la llegada a nuestro país de: #MotoG8Play  #MotoG8Plus #MotoE6Play y… https://t.co/3D4O6B82xp,2019-11-14 19:30:00,1,1,Argentina
hylamobile,"The #MotoG8Plus’ biggest strength is how usable it is on a day-to-day basis, which has a lot to do with the small a… https://t.co/18vzszdNCU",2019-11-14 19:03:00,0,0,Global
iam_BillyNunez,"Y ahora, salió el #MotoG8Plus y yo con el #motog7 😅😅😅😅",2019-11-14 19:02:43,1,0,"Santa Marta, Colombia"
tweetykwiatka,"Motorola Moto G8 Plus - test smartfonu, który musi stawić czoła udanej serii Motorola One
#motorola #motog8plus… https://t.co/pHRAV5ucej",2019-11-14 16:36:43,0,0,
SauloDias,RT @MotorolaBR: Acredite: chegou a família Moto G8. Tudo novo para você não perder nada. #MotoG8Plus #MotoG8Play https://t.co/fJ2BGwcNvx,2019-11-14 16:10:21,0,35,"São Paulo, Brasil"
cristian99Sb,#MotoG8Plus  que hermoso equipo 💕,2019-11-14 15:50:01,0,0,(bogota)colombia
Motorola_col,RT @Kata94_: @Motorola_col Que tu #MotoG8Plus sea más rápido y su batería dure 2 días es lo mejor que han podido hacer. Soy una #FanFeliz.…,2019-11-14 15:38:34,0,1,Colombia
shannonblue7,Quiero el #motog8plus. $24000 ? Que se vayan al diablo https://t.co/yEcnKJKPX4,2019-11-14 12:05:30,3,0,"Tigre, Argentina"
TudoCelular,"Quem você acha que tem o melhor celular, #Motorola ou #Xiaomi?! Descubra agora! 😁📱🆚📱 #MotoG8Plus #MiA3
https://t.co/u5F7PCkqwf",2019-11-14 11:51:30,7,0,São Paulo
RandomAccessOk,#Mobile #Smartphones @motorola_AR anunció la llegada a nuestro país de: #MotoG8Play  #MotoG8Plus #MotoE6Play y… https://t.co/1ZPKyZTOmK,2019-11-14 11:30:00,0,1,Argentina
Basanthabc,"RT @gizbot: Moto G8 Plus: Top 5 Features You Should Know #MotoG8Plus @motorolaindia
https://t.co/0yMkvhsPxZ",2019-11-14 10:58:26,0,1,India
ariefnga,"Credit to from motorola_fans (@get_regrann)  -  #Motorola Razr 2019 Generation 🔥
.
.
.
.

#razr #motorola… https://t.co/VUwhJb7CVY",2019-11-14 10:52:12,0,0,Kemang 
