screen_name,text,date,favorite_count,retweet_count,location
arsjiyong,"RT @dailygdragonbr: 🎥 NIKE – AF1 PARA-NOISE,
EP. 3: CHANGE (LEGENDADO PT/BR)

#AIRFORCE1 #ALLFOR1 #AF1PARANOISE #GDRAGON #권지용 https://t.co/…",2019-11-22 17:37:12,0,23,BIGBANG 
Ntd_Yongie,"RT @Number_GGG: af1_paranoise instgam IGTV 2

[AF1 PARA-NOISE All For Seoul STORY]

보다 창의적이고 대담한 젊음의 도전을 응원하는 지드래곤의 이야기를 직접 들어보세요.

https:/…",2019-11-22 17:35:45,0,72,"Hà Nội, Việt Nam"
impalass96,"#LakeShow @Lakers 2002 three-peat 🏆🏆🏆 #LakerNation. 
.
#sneakers #nikeshoes #sneakerhead #nike #swoosh… https://t.co/kUrcyNZjHp",2019-11-22 17:14:51,0,0,
Budda_Fly,RT @DJDIRTYRICO: #NMN1 #NMNisReal #LadiesOfTheNMN #MenOfTheNMN #FollowTheNoise MAN I DON'T EVEN GET EXCITED NO MORE WHEN #AF1 #AirForce1 FL…,2019-11-22 17:10:44,0,1,DMV
uptoomin,"พรุ่งนี้แล้วนะคะกับ Nike Air Force 1 
“Para-noise” #GDRAGON 
เรารับกดทางเว็บด้วยนะคะ สนใจ dm สอบถามได้ เพราะราคาแต่… https://t.co/ijYUb6xcb8",2019-11-22 17:06:33,3,3,
lady1friday,"WOMENS NIKE AF1 UPSTEP WARRIOR N7 SNEAKERBOOTS 
https://t.co/FnUiPstbnG  #solecollector #sneakeraddict #nicekicks… https://t.co/1yuUbXduzE",2019-11-22 17:04:12,0,0,
devicebox_ru,[https://t.co/vAvVQ5jIcx] Детские #Nike Air Force 1 с рисунком «драконьей» чешуи https://t.co/BhHMFG9Bz1 #airforce1,2019-11-22 16:54:22,0,0,"Беларусь, Минск"
preppyclassics,"MENS NIKE SF AF1 AIR FORCE 1 DEEP BURGUNDY SNEAKERBOOTS 
https://t.co/jcYOVoqwga  
#sneakerheads #solecollector… https://t.co/KcgWGq3hOr",2019-11-22 16:43:55,0,0,
une_savoyarde,Totally in love #airforce1 https://t.co/1Wf4Hj9PL5,2019-11-22 16:42:07,1,0,
khoanguyen6322,"RT @Eblens: ALL FOR 1. 
Nike Air Force 1 '07 LV8 available in 2 new colorways.
#Nike #AllFor1 #AF1 #AirForce1 #Sneakers #Sneakerhead https:…",2019-11-22 16:37:52,0,1,Hồ Chí Minh City😇🇻🇳🇼🇫🇺🇸
kuma_7518,"RT @Number_GGG: NIKE – AF1 PARA-NOISE,
EP. 3: CHANGE

❤️ https://t.co/0fCD6BiEM5

#AIRFORCE1 #ALLFOR1 #AF1PARANOISE 
#GDRAGON #권지용 https://…",2019-11-22 16:35:06,0,446,Singapore
Enoch9D,"#LindseyGraham #LindsayGraham 
#CorruptGOP #CORRUPTION #TrumpCrimeSyndicate #TrumpCrimeFamily #Syria #Marines #ARMY… https://t.co/1GRdkUifWU",2019-11-22 16:34:47,1,0,United States
kuma_7518,"RT @Number_GGG: NIKE – AF1 PARA-NOISE,
EP. 3: CHANGE
cap1

#AIRFORCE1 #ALLFOR1 #AF1PARANOISE 
#GDRAGON #권지용 https://t.co/tP7PsHddnL",2019-11-22 16:34:22,0,934,Singapore
BigBangTanSc0ut,@Twitter we really need a daisy minus one petal emoji at the end of #peaceminusone for the worldwide launch of the… https://t.co/Te3dz9cHxp,2019-11-22 16:31:09,2,0,"British Columbia, Canada"
sighten,"RT @always_gd: nike 
Sponsored

[AF1 PARA-NOISE UTOPIA 캠페인 사이트 오픈] 

지드래곤의 창의성과 영감을 바탕으로 탄생한 에어 포스 1 파라-노이즈의 스토리를 직접 만나보세요! ALL FOR 1

#AIR…",2019-11-22 16:25:38,0,152,
kuma_7518,"RT @auhcesined: —
COLOURED VERSION
WALLPAPER

G-DRAGON — NIKE AF1 PARA-NOISE STORY 
—
► https://t.co/yntuDGFkW4
—
#BIGBANG #GDRAGON #PARANO…",2019-11-22 16:24:15,0,155,Singapore
loversinbigbang,"RT @Number_GGG: af1_paranoise instgam IGTV 2

[AF1 PARA-NOISE All For Seoul STORY]

보다 창의적이고 대담한 젊음의 도전을 응원하는 지드래곤의 이야기를 직접 들어보세요.

https:/…",2019-11-22 16:14:00,0,72,
DJDIRTYRICO,#NMN1 #NMNisReal #LadiesOfTheNMN #MenOfTheNMN #FollowTheNoise MAN I DON'T EVEN GET EXCITED NO MORE WHEN #AF1… https://t.co/p0HkukWSdJ,2019-11-22 16:07:12,1,1,"WASH., D.C."
ryuseino_kanojo,"RT @wwd_jp: 【明日発売】G-DRAGONが「ナイキ」とのコラボ“エア フォース 1”を発表　アッパーが徐々に剥がれ落ちる特別仕様
https://t.co/iJ0nsf16OT
#NIKE #GDRAGON #AirForce1",2019-11-22 16:07:05,0,8,
PlaneSpotIsCool,"RT @NickFlightX: Air Force One departing Moffett for SoCal!
#airforceone #airforce1 #boeing #boeing747 #vc25 #moffettfield #moffett #t5i #p…",2019-11-22 15:46:40,0,1,Worldwide
BABU_sniarkers,"RT @163_flynn: 購入方法のわからないBIGBANG好き、ジヨンペンの方向けに、今回のaf1の購入方法をまとめてみました。

スニーカー好きもジヨンペンも買えますように🙏
#nike #airforce1 #PEACEMINUSONE #BIGBANG #GDRAG…",2019-11-22 15:39:27,0,34,九州らへん
ponyporridge2,#Peaceminusone x #Nike #airforce1 https://t.co/E0uM2ipO9W,2019-11-22 15:36:19,2,0,
NickFlightX,"Air Force One departing Moffett for SoCal!
#airforceone #airforce1 #boeing #boeing747 #vc25 #moffettfield #moffett… https://t.co/HFlHWnzoKJ",2019-11-22 15:34:45,3,1,"San Jose, CA"
AlexBoulton14,RT @AFmuseum: Here's a quick clip of SAM 26000 being moved into the 4th Bldg. in 2016. #airforce1 #jfk #aircraft #airhistory @Boeing VC-137…,2019-11-22 15:26:04,0,6,
syotarou_fuse,"ギャルかわフォース🙌🤘
・
#sneakers #kicks #swoosh #nike #airforce1 #legacy #black #gold #silver 場所: Kyoto, Japón https://t.co/SfQpb8HPPH",2019-11-22 15:14:33,0,0,2020
ojozogo,"RT @Number_GGG: af1_paranoise instgam IGTV 2

[AF1 PARA-NOISE All For Seoul STORY]

보다 창의적이고 대담한 젊음의 도전을 응원하는 지드래곤의 이야기를 직접 들어보세요.

https:/…",2019-11-22 15:12:41,0,72,
cipherEquality,"RT @coolrainz: Wip⛈

AF1 para-noise
1LOVE🌼@nike @IBGDRGN 
Costume by @ladybroown 
All work by coolrainlabo 
#airforce1 #onelove #AF1 #AF1pa…",2019-11-22 15:05:42,0,1,Now
coolrainz,"Wip⛈

AF1 para-noise
1LOVE🌼@nike @IBGDRGN 
Costume by @ladybroown 
All work by coolrainlabo 
#airforce1 #onelove… https://t.co/9JRIXNifEj",2019-11-22 15:04:48,0,1,seoul
3ni16,"RT @Number_GGG: af1_paranoise instgam IGTV 2

[AF1 PARA-NOISE All For Seoul STORY]

보다 창의적이고 대담한 젊음의 도전을 응원하는 지드래곤의 이야기를 직접 들어보세요.

https:/…",2019-11-22 14:50:02,0,72,"London, England"
