screen_name,text,date,favorite_count,retweet_count,location
InvisionGameCom,"#FootballManager2020, the latest title in the long-running series from Sports Interactive and #SEGA Europe Ltd. is… https://t.co/WVjvaoMbvb",2019-11-19 10:17:10,0,1,"Wales, United Kingdom"
SteamXo,"《Football Manager 2020》IGN評分8.7 對新手更加友好
#模擬 #FM2020 #FootballManager2020 #足球經理2020
https://t.co/XSfki8JGL3",2019-11-19 10:12:08,0,0,
Wiggerl1199,#FM20 #FM2020 #Sega #FootballManager2020 Seit heute ist der Football Manager 2020 raus. Schöner und zugänglicher al… https://t.co/KlMZEIs6Oo,2019-11-19 10:09:08,0,0,
CornmillCentre,"RT @GAMEDarlington: BRAND NEW!!
Take your team to victory with #FootballManager2020!! Enjoy a new VR experience with Ping Pong Pro!! And fo…",2019-11-19 10:03:41,0,1,"Darlington, England"
HeardJake,RT @gafferwoodsy85: Well I suppose this will have to do for now #FootballManager2020 #FreeAgent 😂 https://t.co/SIHxUmtVLH,2019-11-19 10:02:22,0,1,
lcfcalex,@FootballManager Any help on how to stop this from happening when i hover over anything? #FM20 #FootballManager2020 https://t.co/IBZTU2c5G1,2019-11-19 10:00:11,0,0,"leicester, Hinckley"
SalltMr,"On tente de gagner la coupe d'Islande !! #fm20 #FootballManager2020
#FM2020 https://t.co/oOUdKAzBOP",2019-11-19 09:57:36,0,0,
cheriedailly,So the other half has decided he's going to dissappear from the face of the planet today due to the release of foot… https://t.co/KvY7TYSaru,2019-11-19 09:56:29,0,0,"Aberdeen, Scotland"
GAMEDarlington,"BRAND NEW!!
Take your team to victory with #FootballManager2020!! Enjoy a new VR experience with Ping Pong Pro!! An… https://t.co/uY1j6fzmmC",2019-11-19 09:55:49,1,1,Cornmill Centre Darlington
all_flying,Has anyone been fired for going over budget this year? Think I made a mistake.... I went full Oprah on the lower le… https://t.co/JO5fjMTsnn,2019-11-19 09:48:25,1,0,"Las Vegas, NV"
AY3JA3Y,Me to Xhaka and Mustafi on my first day as manager #FootballManager2020 #FM20ReleaseDay https://t.co/sDwXxS5k3I,2019-11-19 09:44:48,11,0,
gdoctor,"Can't decide, start as Chelsea or start lower, or go abroad?? #happyfm2020 #FootballManager2020",2019-11-19 09:35:05,1,0,"London, England"
GamosaurusFR,"Une petite envie de #FootballManager2020 ? Ça tombe bien, il sort et aujourd'hui (le hasard ?) et pour l'occasion,… https://t.co/z68ES95FZ2",2019-11-19 09:35:00,0,0,
GAMEGreenock,"Also out today, #FootballManager2020 arrives on PC, bringing its textbook gameplay with it.
Prove your better than… https://t.co/kvBGkEMUuc",2019-11-19 09:34:34,0,0,"Greenock, UK"
GAMEBootle,#FootballManager2020 is OUT NOW and available to buy in store for #PC. https://t.co/qpBOhn0AsC,2019-11-19 09:28:12,0,0,"Liverpool, England"
TiS_Official_,@rei_suzukiiiii #FootballManager2020,2019-11-19 09:26:55,0,0,ウイイレアプリで伝えるサッカーの魅力。
